accession	latitude	longitude
OQ721124	47.1981	-119.3732
OQ721125	47.3176	-119.5536
OQ721199	47.1981	-119.3732
OQ721212	47.6588	-117.426
OQ721245	47.6696	-117.8777
OQ721279	47.0676	-122.1295
OQ721297	47.6588	-117.426
OQ721344	47.6588	-117.426
OQ721349	47.1981	-119.3732
OQ721436	47.1981	-119.3732
OQ721460	47.0676	-122.1295
OQ721485	47.0676	-122.1295
OQ721496	46.0646	-118.343
OQ721526	47.3009	-121.9529
OQ721680	47.4874	-117.5758
OQ721750	47.6588	-117.426
OQ721803	47.175	-120.9319
OQ721837	47.0676	-122.1295
OQ721839	47.1981	-119.3732
