strain	date	country	state	division	host	lineage	authors	journal	title	url	latitude	longitude
AY795965	2002-08-01	USA	MI	MI/Isabella	Unknown	WN02	Unknown	Unknown	Unknown	Unknown	43.7389	-84.6273
KJ501251	2009-09-11	USA	MT	MT/Flathead	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	48.2952	-114.0498
KJ501267	2005-09-07	USA	NV	NV/Pershing	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	40.4404	-118.4044
KJ501341	2005-08-01	USA	CA	CA/Glenn	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	39.599	-122.3915
KJ501342	2005-09-15	USA	CA	CA/San_Diego	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	33.0358	-116.732
KJ501329	2003-08-05	USA	ND	ND/Morton	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	46.7163	-101.2823
KJ501440	2008-07-30	USA	SD	SD/Day	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	45.3672	-97.6074
KJ501242	2010-09-07	USA	MN	MN/Swift	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	45.2827	-95.6814
KJ501442	2010-05-19	USA	AZ	AZ/Maricopa	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	33.3488	-112.4912
KJ501308	2010-09-13	USA	MN	MN/Swift	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	45.2827	-95.6814
KJ501238	2008-08-11	USA	MN	MN/Lacqui_Parle	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	44.9955	-96.1734
KJ501386	2007-07-27	USA	MT	MT/Phillips	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	48.2591	-107.9133
KJ501500	2009-12-22	USA	MD	MD/Talbot	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	38.7761	-76.0876
KJ501260	2008-07-30	USA	SD	SD/Day	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	45.3672	-97.6074
KJ501518	2007-07-27	USA	MT	MT/Phillips	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	48.2591	-107.9133
KJ501250	2009-08-24	USA	MT	MT/Phillips	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	48.2591	-107.9133
KJ501461	2005-09-01	USA	MT	MT/Phillips	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	27.937	-82.7197
KJ501239	2008-08-15	USA	MN	MN/Lacqui_Parle	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	44.9955	-96.1734
KJ501240	2008-10-02	USA	MN	MN/Lacqui_Parle	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	44.9955	-96.1734
KJ501255	2008-08-27	USA	ND	ND/Stutsman	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	46.9793	-98.9588
KJ501236	2009-09-14	USA	CA	CA/Imperial	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	33.0412	-115.364
KJ501441	2008-10-01	USA	SD	SD/Pennington	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	44.0037	-102.8238
KJ501293	2003-10-02	USA	MD	MD/Prince_George's	Bird-other	NY99	Unknown	Unknown	Unknown	Unknown	38.8325	-76.8445
KJ501276	2002-08-23	USA	OH	OH/Hancock	Bird-other	NY99	Unknown	Unknown	Unknown	Unknown	41.0019	-83.6665
KJ501374	2001-11-06	USA	NJ	NJ/Union	Bird-other	NY99	Unknown	Unknown	Unknown	Unknown	40.6601	-74.3107
KJ501493	2001-10-02	USA	DC	DC/District_of_Columbia	Bird-other	NY99	Unknown	Unknown	Unknown	Unknown	38.9102	-77.0145
KJ501465	2001-08-24	USA	MI	MI/Oakland	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	42.6604	-83.3858
KJ501515	2001-10-31	USA	NJ	NJ/Middlesex	Bird-other	NY99	Unknown	Unknown	Unknown	Unknown	40.4384	-74.413
KJ501277	2001-08-22	USA	PA	PA/Philadelphia	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	40.0097	-75.1337
KJ501269	2001-10-25	USA	NJ	NJ/Middlesex	Bird-other	NY99	Unknown	Unknown	Unknown	Unknown	40.4384	-74.413
KJ501486	2001-09-17	USA	NJ	NJ/Mercer	Bird-other	NY99	Unknown	Unknown	Unknown	Unknown	40.2833	-74.7017
KJ501378	2001-09-20	USA	PA	PA/Bucks	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	40.3369	-75.1068
KJ501288	2001-09-18	USA	DC	DC/District_of_Columbia	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	38.9102	-77.0145
KJ501494	2001-09-18	USA	DC	DC/District_of_Columbia	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	38.9102	-77.0145
KJ501289	2001-10-02	USA	DC	DC/District_of_Columbia	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	38.9102	-77.0145
KJ501343	2001-09-04	USA	DC	DC/District_of_Columbia	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	38.9102	-77.0145
KJ501362	2001-10-01	USA	OH	OH/Cuyahoga	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	41.4243	-81.6586
KJ501516	2001-09-20	USA	OH	OH/Wood	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	41.3617	-83.623
KJ501480	2001-09-13	USA	MD	MD/Anne_Arundel	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	39.0052	-76.6117
KJ501379	2001-09-27	USA	WI	WI/Dane	Bird-other	NY99	Unknown	Unknown	Unknown	Unknown	43.0673	-89.4182
KJ501233	2001-09-19	USA	AR	AR/Union	Bird-other	NY99	Unknown	Unknown	Unknown	Unknown	33.1714	-92.5973
KJ501468	2001-09-27	USA	MS	MS/Adams	Bird-other	NY99	Unknown	Unknown	Unknown	Unknown	31.4829	-91.3533
KJ501473	2001-09-27	USA	IL	IL/Dupage	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	41.852	-88.0856
KJ501264	2001-09-13	USA	GA	GA/Fulton	Bird-other	NY99	Unknown	Unknown	Unknown	Unknown	33.7903	-84.4671
KJ501455	2001-09-14	USA	AL	AL/Montgomery	Bird-other	NY99	Unknown	Unknown	Unknown	Unknown	32.2202	-86.2076
DQ080071	2002-08-01	USA	FL	FL/Sumter	Horse	NY99	Unknown	Unknown	Unknown	Unknown	28.6964	-82.0038
KJ501268	2001-10-31	USA	NJ	NJ/Ocean	Bird-other	NY99	Unknown	Unknown	Unknown	Unknown	39.914	-74.3001
KJ501363	2001-09-14	USA	OH	OH/Franklin	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	39.9695	-83.0093
KJ501395	2001-10-04	USA	VA	VA/Arlington	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	38.8787	-77.1012
KJ501275	2001-09-14	USA	OH	OH/Cuyahoga	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	41.4243	-81.6586
KJ501512	2001-10-02	USA	GA	GA/Fulton	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	33.7903	-84.4671
KJ501235	2001-09-26	USA	AR	AR/Sebastian	Bird-other	NY99	Unknown	Unknown	Unknown	Unknown	35.1995	-94.2738
KJ501234	2001-09-26	USA	AR	AR/Saline	Bird-other	NY99	Unknown	Unknown	Unknown	Unknown	34.6466	-92.6766
KJ501282	2001-09-27	USA	WI	WI/Waushara	Bird-other	NY99	Unknown	Unknown	Unknown	Unknown	44.1131	-89.2429
KJ501443	2001-10-19	USA	IL	IL/Will	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	41.445	-87.9787
KJ501259	2008-01-03	USA	SD	SD/Yankton	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	43.009	-97.3946
KJ501241	2009-08-21	USA	MN	MN/Swift	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	45.2827	-95.6814
KJ501257	2002-09-01	USA	ND	ND/Grand_Forks	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	47.922	-97.457
KJ501253	2008-04-25	USA	ND	ND/Burleigh	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	46.9775	-100.4688
KJ501324	2003-08-29	USA	MN	MN/Otter_Tail	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	46.4088	-95.708
