FJ151394	FJ151394_USA_NY_1999-08-01_NY99
AF260967	AF260967_USA_NY_1999-08-01_NY99
HQ671706	HQ671706_USA_CT_1999-08-01_NY99
HQ671707	HQ671707_USA_CT_1999-08-01_NY99
AF202541	AF202541_USA_NY_1999-08-28_NY99
AF206518	AF206518_USA_CT_1999-09-14_NY99
AF196835	AF196835_USA_NY_1999-09-15_NY99
HM488127	HM488127_USA_CT_1999-09-24_NY99
HM488126	HM488126_USA_CT_1999-09-25_NY99
HM488128	HM488128_USA_CT_1999-09-27_NY99
HM488125	HM488125_USA_CT_1999-09-29_NY99
KX547353	KX547353_USA_NY_2000-07-11_NY99
KX547386	KX547386_USA_NY_2000-07-21_NY99
AF404756	AF404756_USA_NY_2000-08-01_NY99
AF404755	AF404755_USA_NY_2000-08-01_NY99
AF404754	AF404754_USA_NJ_2000-08-01_NY99
AF404753	AF404753_USA_MD_2000-08-01_NY99
HQ671708	HQ671708_USA_CT_2000-08-01_NY99
HQ671709	HQ671709_USA_CT_2000-08-01_NY99
HQ671710	HQ671710_USA_CT_2000-08-01_NY99
HQ671711	HQ671711_USA_CT_2000-08-01_NY99
HQ671712	HQ671712_USA_CT_2000-08-01_NY99
MH166882	MH166882_USA_VA_2000-08-01_NY99
MH166901	MH166901_USA_VA_2000-08-01_NY99
MH166903	MH166903_USA_VA_2000-08-01_NY99
MH166904	MH166904_USA_VA_2000-08-01_NY99
KX547395	KX547395_USA_NY_2000-08-31_NY99
KX547602	KX547602_USA_NY_2000-09-01_NY99
KX547519	KX547519_USA_NY_2000-09-01_NY99
HM488130	HM488130_USA_CT_2000-09-18_NY99
HM488132	HM488132_USA_CT_2000-09-20_NY99
HM488131	HM488131_USA_CT_2000-09-21_NY99
HM488129	HM488129_USA_CT_2000-09-21_NY99
HM488133	HM488133_USA_CT_2001-07-16_NY99
DQ164194	DQ164194_USA_NY_2001-08-01_NY99
DQ080072	DQ080072_USA_FL_2001-08-01_NY99
HM488246	HM488246_USA_NY_2001-08-01_NY99
HM488247	HM488247_USA_NY_2001-08-01_NY99
HM488248	HM488248_USA_NY_2001-08-01_NY99
HM488249	HM488249_USA_NY_2001-08-01_NY99
HM756661	HM756661_USA_NY_2001-08-01_NY99
HM756662	HM756662_USA_NY_2001-08-01_NY99
HM756663	HM756663_USA_NY_2001-08-01_NY99
HQ671696	HQ671696_USA_CT_2001-08-01_NY99
