accession	lineage
AF481864	pre-NY
MH166901	NY99
MH166903	NY99
MH166904	NY99
KX547395	NY99
KX547519	NY99
KX547602	NY99
HM488130	NY99
HM488132	NY99
HQ671707	NY99
AF202541	NY99
AF206518	NY99
HM488127	NY99
HM488126	NY99
KX547410	WN02
KJ501434	WN02
KX547456	WN02
KY216155	WN02
KX547460	WN02
MF175829	WN02
KX547482	WN02
MF175827	WN02
MF175839	WN02
KT020853	WN02
KX547548	WN02
MF175863	WN02
KX547286	WN02
MF175873	WN02
MF175865	WN02
MF175831	WN02
MF175858	WN02
KJ501117	SW03
KJ501120	SW03
MF175815	SW03
MG004533	SW03
KJ501117	SW03
KJ501120	SW03
KF704147	SW03
KF704153	SW03
KR348940	SW03
KR348937	SW03
KX547361	SW03
JX015523	SW03
KR348944	SW03
KJ501124	SW03
KX547552	SW03
KJ145829	SW03
KR348981	SW03
KJ501118	SW03
KR348938	SW03
KR348976	SW03
KJ501170	SW03
KR348993	SW03
JQ700438	SW03
KR348977	SW03
KR348942	SW03
KR348941	SW03
KJ501121	SW03
KJ501122	SW03
KX547375	SW03
KM012172	SW03
KC333375	SW03
KJ501222	SW03
MF175815	SW03
MG004533	SW03
MG004537	SW03
MF175866	SW03
MG004540	SW03

